in s,C1 in V
-2.0399808E+00,-7.08008E-02
-2.0399496E+00,-6.98242E-02
-2.0399184E+00,-7.66602E-02
-2.0398872E+00,-8.15430E-02
-2.0398560E+00,-9.13086E-02
-2.0398248E+00,-9.13086E-02
-2.0397936E+00,-9.61914E-02
-2.0397624E+00,-1.02051E-01
-2.0397312E+00,-1.07910E-01
-2.0397000E+00,-1.07910E-01
-2.0396688E+00,-1.14746E-01
-2.0396376E+00,-1.21582E-01
-2.0396064E+00,-1.19629E-01
-2.0395752E+00,-1.26465E-01
-2.0395440E+00,-1.26465E-01
-2.0395128E+00,-1.28418E-01
-2.0394816E+00,-1.32324E-01
-2.0394504E+00,-1.39160E-01
-2.0394192E+00,-1.40137E-01
-2.0393880E+00,-1.43066E-01
-2.0393568E+00,-1.43066E-01
-2.0393256E+00,-1.41113E-01
-2.0392944E+00,-1.45020E-01
-2.0392632E+00,-1.49902E-01
-2.0392320E+00,-1.48926E-01
-2.0392008E+00,-1.50879E-01
-2.0391696E+00,-1.53809E-01
-2.0391384E+00,-1.55762E-01
-2.0391072E+00,-1.58691E-01
-2.0390760E+00,-1.59668E-01
-2.0390448E+00,-1.56738E-01
-2.0390136E+00,-1.61621E-01
-2.0389824E+00,-1.58691E-01
-2.0389512E+00,-1.58691E-01
-2.0389200E+00,-1.64551E-01
-2.0388888E+00,-1.64551E-01
-2.0388576E+00,-1.65527E-01
-2.0388264E+00,-1.66504E-01
-2.0387952E+00,-1.64551E-01
-2.0387640E+00,-1.68457E-01
-2.0387328E+00,-1.72363E-01
-2.0387016E+00,-1.68457E-01
-2.0386704E+00,-1.71387E-01
-2.0386392E+00,-1.68457E-01
-2.0386080E+00,-1.72363E-01
-2.0385768E+00,-1.72363E-01
-2.0385456E+00,-1.71387E-01
-2.0385144E+00,-1.68457E-01
-2.0384832E+00,-1.72363E-01
-2.0384520E+00,-1.74316E-01
-2.0384208E+00,-1.71387E-01
-2.0383896E+00,-1.71387E-01
-2.0383584E+00,-1.72363E-01
-2.0383272E+00,-1.74316E-01
-2.0382960E+00,-1.75293E-01
-2.0382648E+00,-1.78223E-01
-2.0382336E+00,-1.76270E-01
-2.0382024E+00,-1.75293E-01
-2.0381712E+00,-1.76270E-01
-2.0381400E+00,-1.75293E-01
-2.0381088E+00,-1.75293E-01
-2.0380776E+00,-1.75293E-01
-2.0380464E+00,-1.74316E-01
-2.0380152E+00,-1.76270E-01
-2.0379840E+00,-1.74316E-01
-2.0379528E+00,-1.76270E-01
-2.0379216E+00,-1.72363E-01
-2.0378904E+00,-1.72363E-01
-2.0378592E+00,-1.71387E-01
-2.0378280E+00,-1.76270E-01
-2.0377968E+00,-1.74316E-01
-2.0377656E+00,-1.72363E-01
-2.0377344E+00,-1.71387E-01
-2.0377032E+00,-1.73340E-01
-2.0376720E+00,-1.74316E-01
-2.0376408E+00,-1.71387E-01
-2.0376096E+00,-1.71387E-01
-2.0375784E+00,-1.76270E-01
-2.0375472E+00,-1.71387E-01
-2.0375160E+00,-1.68457E-01
-2.0374848E+00,-1.71387E-01
-2.0374536E+00,-1.71387E-01
-2.0374224E+00,-1.70410E-01
-2.0373912E+00,-1.71387E-01
-2.0373600E+00,-1.71387E-01
-2.0373288E+00,-1.71387E-01
-2.0372976E+00,-1.71387E-01
-2.0372664E+00,-1.70410E-01
-2.0372352E+00,-1.71387E-01
-2.0372040E+00,-1.73340E-01
-2.0371728E+00,-1.74316E-01
-2.0371416E+00,-1.71387E-01
-2.0371104E+00,-1.68457E-01
-2.0370792E+00,-1.72363E-01
-2.0370480E+00,-1.72363E-01
-2.0370168E+00,-1.68457E-01
-2.0369856E+00,-1.70410E-01
-2.0369544E+00,-1.71387E-01
-2.0369232E+00,-1.71387E-01
-2.0368920E+00,-1.69434E-01
-2.0368608E+00,-1.71387E-01
-2.0368296E+00,-1.71387E-01
-2.0367984E+00,-1.70410E-01
-2.0367672E+00,-1.72363E-01
-2.0367360E+00,-1.71387E-01
-2.0367048E+00,-1.70410E-01
-2.0366736E+00,-1.67480E-01
-2.0366424E+00,-1.69434E-01
-2.0366112E+00,-1.68457E-01
-2.0365800E+00,-1.72363E-01
-2.0365488E+00,-1.69434E-01
-2.0365176E+00,-1.73340E-01
-2.0364864E+00,-1.72363E-01
-2.0364552E+00,-1.73340E-01
-2.0364240E+00,-1.75293E-01
-2.0363928E+00,-1.76270E-01
-2.0363616E+00,-1.77246E-01
-2.0363304E+00,-1.76270E-01
-2.0362992E+00,-1.78223E-01
-2.0362680E+00,-1.74316E-01
-2.0362368E+00,-1.75293E-01
-2.0362056E+00,-1.75293E-01
-2.0361744E+00,-1.77246E-01
-2.0361432E+00,-1.76270E-01
-2.0361120E+00,-1.72363E-01
-2.0360808E+00,-1.78223E-01
-2.0360496E+00,-1.78223E-01
-2.0360184E+00,-1.72363E-01
-2.0359872E+00,-1.72363E-01
-2.0359560E+00,-1.71387E-01
-2.0359248E+00,-1.64551E-01
-2.0358936E+00,-1.65527E-01
-2.0358624E+00,-1.62598E-01
-2.0358312E+00,-1.63574E-01
-2.0358000E+00,-1.66504E-01
-2.0357688E+00,-1.63574E-01
-2.0357376E+00,-1.57715E-01
-2.0357064E+00,-1.56738E-01
-2.0356752E+00,-1.54785E-01
-2.0356440E+00,-1.55762E-01
-2.0356128E+00,-1.54785E-01
-2.0355816E+00,-1.48926E-01
-2.0355504E+00,-1.50879E-01
-2.0355192E+00,-1.46973E-01
-2.0354880E+00,-1.46973E-01
-2.0354568E+00,-1.42090E-01
-2.0354256E+00,-1.43066E-01
-2.0353944E+00,-1.41113E-01
-2.0353632E+00,-1.43066E-01
-2.0353320E+00,-1.38184E-01
-2.0353008E+00,-1.35254E-01
-2.0352696E+00,-1.31348E-01
-2.0352384E+00,-1.28418E-01
-2.0352072E+00,-1.29395E-01
-2.0351760E+00,-1.25488E-01
-2.0351448E+00,-1.25488E-01
-2.0351136E+00,-1.21582E-01
-2.0350824E+00,-1.21582E-01
-2.0350512E+00,-1.15723E-01
-2.0350200E+00,-1.15723E-01
-2.0349888E+00,-1.13770E-01
-2.0349576E+00,-1.13770E-01
-2.0349264E+00,-1.12793E-01
-2.0348952E+00,-1.07910E-01
-2.0348640E+00,-1.05957E-01
-2.0348328E+00,-1.02051E-01
-2.0348016E+00,-1.02051E-01
-2.0347704E+00,-1.03027E-01
-2.0347392E+00,-1.00098E-01
-2.0347080E+00,-9.32617E-02
-2.0346768E+00,-9.61914E-02
-2.0346456E+00,-9.32617E-02
-2.0346144E+00,-9.22852E-02
-2.0345832E+00,-9.22852E-02
-2.0345520E+00,-8.83789E-02
-2.0345208E+00,-8.64258E-02
-2.0344896E+00,-8.25195E-02
-2.0344584E+00,-8.54492E-02
-2.0344272E+00,-8.05664E-02
-2.0343960E+00,-7.66602E-02
-2.0343648E+00,-7.56836E-02
-2.0343336E+00,-7.37305E-02
-2.0343024E+00,-7.17773E-02
-2.0342712E+00,-7.17773E-02
-2.0342400E+00,-7.08008E-02
-2.0342088E+00,-7.08008E-02
-2.0341776E+00,-6.78711E-02
-2.0341464E+00,-5.90820E-02
-2.0341152E+00,-6.10352E-02
-2.0340840E+00,-6.00586E-02
-2.0340528E+00,-5.90820E-02
-2.0340216E+00,-5.41992E-02
-2.0339904E+00,-5.22461E-02
-2.0339592E+00,-5.32227E-02
-2.0339280E+00,-5.22461E-02
-2.0338968E+00,-5.41992E-02
-2.0338656E+00,-4.54102E-02
-2.0338344E+00,-4.44336E-02
-2.0338032E+00,-4.83398E-02
-2.0337720E+00,-4.54102E-02
-2.0337408E+00,-4.44336E-02
-2.0337096E+00,-3.66211E-02
-2.0336784E+00,-3.95508E-02
-2.0336472E+00,-3.27148E-02
-2.0336160E+00,-3.75977E-02
-2.0335848E+00,-3.27148E-02
-2.0335536E+00,-3.36914E-02
-2.0335224E+00,-2.39258E-02
-2.0334912E+00,-2.78320E-02
-2.0334600E+00,-2.88086E-02
-2.0334288E+00,-2.49023E-02
-2.0333976E+00,-2.39258E-02
-2.0333664E+00,-2.29492E-02
-2.0333352E+00,-2.09961E-02
-2.0333040E+00,-1.70898E-02
-2.0332728E+00,-1.41602E-02
-2.0332416E+00,-1.02539E-02
-2.0332104E+00,-9.27734E-03
-2.0331792E+00,-1.02539E-02
-2.0331480E+00,-4.39453E-03
-2.0331168E+00,-1.22070E-02
-2.0330856E+00,-6.34766E-03
-2.0330544E+00,-3.41797E-03
-2.0330232E+00,-3.41797E-03
-2.0329920E+00,-5.37109E-03
-2.0329608E+00,-3.41797E-03
-2.0329296E+00,-4.88281E-04
-2.0328984E+00,4.39453E-03
-2.0328672E+00,4.39453E-03
-2.0328360E+00,7.32422E-03
-2.0328048E+00,8.30078E-03
-2.0327736E+00,1.12305E-02
-2.0327424E+00,9.27734E-03
-2.0327112E+00,1.02539E-02
-2.0326800E+00,1.61133E-02
-2.0326488E+00,1.80664E-02
-2.0326176E+00,2.09961E-02
-2.0325864E+00,2.29492E-02
-2.0325552E+00,2.88086E-02
-2.0325240E+00,3.17383E-02
-2.0324928E+00,3.56445E-02
-2.0324616E+00,3.95508E-02
-2.0324304E+00,4.34570E-02
-2.0323992E+00,4.63867E-02
-2.0323680E+00,4.83398E-02
-2.0323368E+00,4.83398E-02
-2.0323056E+00,4.73633E-02
-2.0322744E+00,5.61523E-02
-2.0322432E+00,5.81055E-02
-2.0322120E+00,6.20117E-02
-2.0321808E+00,6.68945E-02
-2.0321496E+00,6.98242E-02
-2.0321184E+00,6.98242E-02
-2.0320872E+00,7.27539E-02
-2.0320560E+00,7.47070E-02
-2.0320248E+00,7.76367E-02
-2.0319936E+00,7.95898E-02
-2.0319624E+00,8.54492E-02
-2.0319312E+00,8.74023E-02
-2.0319000E+00,8.74023E-02
-2.0318688E+00,8.83789E-02
-2.0318376E+00,9.03320E-02
-2.0318064E+00,9.61914E-02
-2.0317752E+00,9.71680E-02
-2.0317440E+00,1.00098E-01
-2.0317128E+00,1.03027E-01
-2.0316816E+00,1.04004E-01
-2.0316504E+00,1.08887E-01
-2.0316192E+00,1.12793E-01
-2.0315880E+00,1.17676E-01
-2.0315568E+00,1.14746E-01
-2.0315256E+00,1.15723E-01
-2.0314944E+00,1.24512E-01
-2.0314632E+00,1.25488E-01
-2.0314320E+00,1.25488E-01
-2.0314008E+00,1.32324E-01
-2.0313696E+00,1.36230E-01
-2.0313384E+00,1.39160E-01
-2.0313072E+00,1.37207E-01
-2.0312760E+00,1.39160E-01
-2.0312448E+00,1.39160E-01
-2.0312136E+00,1.39160E-01
-2.0311824E+00,1.43066E-01
-2.0311512E+00,1.43066E-01
-2.0311200E+00,1.43066E-01
-2.0310888E+00,1.42090E-01
-2.0310576E+00,1.45020E-01
-2.0310264E+00,1.45020E-01
-2.0309952E+00,1.43066E-01
-2.0309640E+00,1.45020E-01
-2.0309328E+00,1.46973E-01
-2.0309016E+00,1.45996E-01
-2.0308704E+00,1.45020E-01
-2.0308392E+00,1.40137E-01
-2.0308080E+00,1.40137E-01
